Date,Open,High,Low,Close,Adj Close,Volume
2016-09-29,16250.000000,16250.000000,16043.799805,16146.000000,16146.000000,3174
2016-09-30,16146.000000,16257.099609,16146.000000,16257.099609,16257.099609,2244
2016-10-03,16060.000000,16139.099609,16060.000000,16138.000000,16138.000000,378
2016-10-04,16212.000000,16212.000000,16000.000000,16056.200195,16056.200195,4681
2016-10-05,16198.000000,16300.000000,16172.599609,16237.799805,16237.799805,6155
2016-10-06,16287.200195,16325.000000,16222.799805,16226.400391,16226.400391,5577
2016-10-07,16200.000000,16258.200195,16173.000000,16173.000000,16173.000000,12179
2016-10-10,15990.000000,15990.000000,15873.799805,15925.000000,15925.000000,1971
2016-10-11,15789.000000,15842.299805,15730.000000,15730.000000,15730.000000,795
2016-10-12,15810.000000,15872.099609,15800.000000,15800.000000,15800.000000,383
2016-10-13,15709.799805,15750.000000,15675.000000,15717.099609,15717.099609,663
2016-10-14,15726.400391,15800.000000,15633.099609,15656.000000,15656.000000,1128
2016-10-17,15439.299805,15455.900391,15342.000000,15342.099609,15342.099609,685
2016-10-18,15320.000000,15350.000000,15240.599609,15259.700195,15259.700195,5692
2016-10-19,15198.299805,15222.700195,15169.000000,15177.799805,15177.799805,3574
2016-10-20,15035.299805,15115.000000,15030.200195,15106.599609,15106.599609,3219
2016-10-21,15186.900391,15251.599609,15168.000000,15222.099609,15222.099609,2791
2016-10-24,15445.000000,15550.000000,15394.000000,15528.599609,15528.599609,1580
2016-10-25,15524.500000,15584.000000,15419.200195,15459.299805,15459.299805,1116
2016-10-26,15445.000000,15470.700195,15331.099609,15432.099609,15432.099609,3963
2016-10-27,15514.700195,15525.000000,15369.000000,15406.200195,15406.200195,2655
2016-10-28,14610.000000,14880.599609,14562.099609,14718.299805,14718.299805,108840
2016-10-31,14859.000000,14957.500000,14835.000000,14910.799805,14910.799805,5787
2016-11-01,15136.900391,15136.900391,14994.000000,15040.299805,15040.299805,2568
2016-11-03,15040.299805,15040.299805,14649.000000,14711.299805,14711.299805,1658
2016-11-04,14625.000000,14625.000000,14335.000000,14352.299805,14352.299805,3644
2016-11-07,14408.000000,14713.200195,14408.000000,14665.000000,14665.000000,10922
2016-11-08,14550.000000,14585.000000,14465.000000,14489.900391,14489.900391,1588
2016-11-09,14531.200195,15442.000000,14531.200195,15222.400391,15222.400391,9117
2016-11-10,16000.000000,16000.000000,15000.000000,15327.700195,15327.700195,41013
