Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,95.981949,96.560860,95.206787,97.139999,95.314720,29445200
2016-06-16,94.637680,95.913254,94.264832,97.550003,95.717018,31326800
2016-06-17,94.804497,94.833931,93.509293,95.330002,93.538727,61008200
2016-06-20,94.196144,94.755424,93.244370,95.099998,93.313049,34411900
2016-06-21,93.156059,94.539566,92.900940,95.910004,94.107834,35546400
2016-06-22,94.441437,95.069412,93.558357,95.550003,93.754601,29219100
2016-06-23,94.137268,94.480698,93.460236,96.099998,94.294258,32240200
2016-06-24,91.164200,92.881317,90.909096,93.400002,91.644997,75311400
2016-06-27,91.252518,91.301575,89.780685,92.040001,90.310555,45489600
2016-06-28,91.154388,91.900116,90.408669,93.589996,91.831421,40444900
2016-06-29,92.204285,92.773384,91.870674,94.400002,92.626205,36531000
2016-06-30,92.665459,93.970459,92.528091,95.599998,93.803650,35836400
2016-07-01,93.695709,94.657310,93.538727,95.889999,94.088203,26026500
2016-07-05,93.597595,93.607414,92.685074,94.989998,93.205109,27705200
2016-07-06,92.822449,93.862526,92.596771,95.529999,93.734970,30949100
2016-07-07,93.901779,94.686745,93.823280,95.940002,94.137268,25139600
2016-07-08,94.676941,95.069412,94.245209,96.680000,94.863365,28912100
2016-07-11,94.932045,95.815140,94.912422,96.980003,95.157722,23794900
2016-07-12,95.344162,95.864189,95.295097,97.419998,95.589455,24167500
2016-07-13,95.579643,95.834763,95.020355,96.870003,95.049797,25892200
2016-07-14,95.560020,97.129951,95.491341,98.790001,96.933723,38919000
2016-07-15,97.061272,97.434128,96.649162,98.779999,96.923904,30137000
2016-07-18,96.845398,98.248535,96.747276,99.830002,97.954170,36493900
2016-07-19,97.689247,98.120972,97.473381,99.870003,97.993423,23779900
2016-07-20,98.120972,98.572334,97.865860,99.959999,98.081734,26276000
2016-07-21,97.954170,99.102180,97.267326,99.430000,97.561691,32702000
2016-07-22,97.394890,97.434128,96.462738,98.660004,96.806160,28313700
2016-07-25,96.403862,96.982773,95.098846,97.339996,95.510956,40382900
2016-07-26,95.000732,96.129128,94.608246,96.669998,94.853554,56239800
2016-07-27,102.310753,102.389236,100.819305,102.949997,101.015549,92344800
2016-07-28,100.897812,102.487358,100.887985,104.339996,102.379417,39869800
2016-07-29,102.232246,102.585487,101.731834,104.209999,102.251869,27733700
2016-08-01,102.448120,104.155426,102.448120,106.050003,104.057297,38167900
2016-08-02,104.057297,104.076920,102.045822,104.480003,102.516800,33816600
2016-08-03,102.840591,103.851242,102.801346,105.790001,103.802185,30202600
2016-08-04,104.157341,104.571663,103.861374,105.870003,104.443428,27408700
2016-08-05,104.838028,106.199448,104.749245,107.480003,106.031723,40553400
2016-08-08,106.071190,106.909737,105.716042,108.370003,106.909737,28037200
2016-08-09,106.771622,107.472054,106.554596,108.809998,107.343811,26315200
2016-08-10,107.245155,107.432602,106.307961,108.000000,106.544724,24008500
2016-08-11,107.057709,107.462196,106.396744,107.930000,106.475662,27484500
2016-08-12,106.327682,106.978798,106.327682,108.180000,106.722298,18660400
2016-08-15,106.682838,108.063972,106.623650,109.480003,108.004776,25868200
2016-08-16,108.152756,108.744675,107.738411,109.379997,107.906120,33794400
2016-08-17,107.629898,107.896263,106.880135,109.220001,107.748291,25356000
2016-08-18,107.758148,108.123161,107.550972,109.080002,107.610176,21984700
2016-08-19,107.304344,108.211952,106.899872,109.360001,107.886398,25368100
2016-08-22,107.393135,107.629898,106.396744,108.510002,107.047852,25820200
2016-08-23,107.126762,107.846931,107.067574,108.849998,107.383263,21257700
